time,site,easting,northing,Year,richness,ca1.score
t1,S1324,272550,278200,1993,25,0.988422384
t1,S1325,274800,280950,1992,14,0.865134347
t1,S1325,274800,280950,1993,17,0.997073022
t1,S1326,274739,283385,1991,18,1.021373208
t1,S1326,274739,283385,1992,13,1.221905598
t1,S1326,274739,283385,1993,16,0.973569545
t1,S1327,277650,288800,1991,16,0.935693551
t1,S1327,277650,288800,1992,14,0.911345115
t1,S1327,277650,288800,1993,11,0.989484273
t1,S1328,258813,278755,1991,20,0.972699416
t1,S1328,258813,278755,1992,19,1.128748031
t1,S1328,258813,278755,1993,23,1.010525527
t1,S1329,268721,271505,1991,19,0.932310529
t1,S1329,268721,271505,1992,18,1.076601113
t1,S1329,268721,271505,1993,25,0.863836242
t1,S1330,278944,273760,1991,18,1.031724342
t1,S1330,278944,273760,1992,14,1.056327255
t1,S1330,278944,273760,1993,14,1.010384198
t1,S1331,282784,275492,1992,11,1.488935647
t1,S1331,282784,275492,1993,12,0.996920611
t1,S1332,266621,273937,1991,17,0.945558466
t1,S1332,266621,273937,1992,19,0.926788877
t1,S1332,266621,273937,1993,20,1.023291503
t1,S1333,265738,280017,1991,22,0.756243923
t1,S1333,265738,280017,1992,17,0.494011471
t1,S1333,265738,280017,1993,19,0.82551614
t1,S1334,275014,276541,1991,15,1.065031931
t1,S1334,275014,276541,1992,12,1.316112005
t1,S1334,275014,276541,1993,13,0.926332696
t1,S1335,277387,277586,1991,13,1.009505593
t1,S1335,277387,277586,1992,11,1.131384817
t1,S1335,277387,277586,1993,16,1.054706439
t1,S1336,275016,280852,1991,19,0.721139365
t1,S1336,275016,280852,1992,20,0.874582284
t1,S1336,275016,280852,1993,20,0.628731867
t1,S1337,275342,290493,1991,15,1.033219709
t1,S1337,275342,290493,1992,13,0.925685562
t1,S1337,275342,290493,1993,16,0.863868935
t1,S1338,260380,283800,1991,21,0.715393598
t1,S1338,260380,283800,1992,20,0.900616054
t1,S1338,260380,283800,1993,25,0.456762325
t1,S1339,263100,283700,1991,15,1.273246858
t1,S1339,263100,283700,1992,23,0.991909229
t1,S1339,263100,283700,1993,21,0.903227402
t1,S1340,220043,216079,1991,27,0.163908717
t1,S1341,215304,220508,1991,23,0.421715912
t1,S1341,215304,220508,1992,23,0.587924882
t1,S1342,243600,221750,1992,27,0.487765889
t1,S1344,293440,175039,1993,21,0.319826371
t1,S1345,294406,174197,1993,27,-0.107224069
t1,S1346,289262,187070,1993,18,1.071218058
t1,S1347,291087,207889,1993,17,-0.000335107
t1,S1348,293150,206950,1993,7,-0.325761658
t1,S1349,268237,197768,1993,13,-0.546372129
t1,S1350,274075,205887,1993,17,1.044689994
t1,S1351,275400,211500,1993,15,0.763339305
t1,S1352,274929,212584,1993,18,0.883941225
t1,S1354,254361,189080,1993,19,0.71820389
t1,S1356,262081,211002,1993,13,0.622671451
t1,S1357,253333,201891,1993,23,0.288368557
t1,S1358,253261,202666,1993,22,0.5521918
t1,S1359,269193,213268,1993,14,0.638115878
t1,S1360,244793,207250,1993,21,0.557950522
t1,S1361,206821,215093,1993,23,0.327928661
t1,S1362,204647,226937,1993,24,0.879636599
t1,S1365,273809,288758,1993,11,0.885766235
t1,S1366,284659,275799,1993,11,0.960197022
t1,S1367,264116,283945,1993,17,1.042063297
t1,S1368,298221,182648,1993,23,0.105063609
t1,S1372,409089,420690,1992,6,-0.748463795
t1,S1375,279799,196211,1993,5,1.239594429
t1,S1385,262300,210600,1991,13,0.52096196
t1,S1385,262300,210600,1992,18,0.676765905
t1,S1386,267386,213824,1991,9,0.774997323
t1,S1386,267386,213824,1992,15,0.682285557
t1,S1387,261980,213370,1991,16,0.160571282
t1,S1387,261980,213370,1992,22,0.678473626
t1,S1388,247530,209398,1991,18,0.320061758
t1,S1388,247530,209398,1992,22,0.406628156
t1,S1389,241868,210156,1991,23,0.179728617
t1,S1389,241868,210156,1992,29,0.321099645
t1,S1390,472519,447416,1991,21,-0.767671403
t1,S1390,472519,447416,1992,19,-0.600284352
t1,S1391,281572,196881,1993,1,2.163310368
t1,S1392,279928,197204,1993,3,0.825286334
t1,S1393,279800,196700,1993,4,0.368655797
t1,S1394,278732,195440,1993,4,1.176745266
t1,S1396,290330,179378,1991,15,0.3359661
t1,S1396,290330,179378,1992,18,-0.019367398
t1,S1396,290330,179378,1993,23,0.188876644
t1,S1397,291282,177928,1991,21,-0.316416321
t1,S1397,291282,177928,1992,15,-0.399611198
t1,S1397,291282,177928,1993,24,0.082381658
t1,S1398,295394,179939,1992,25,0.341837221
t1,S1399,295424,179918,1991,21,-0.125639406
t1,S1399,295424,179918,1992,20,0.21554013
t1,S1399,295424,179918,1993,21,0.369965013
t1,S1400,288818,186607,1991,12,0.086214892
t1,S1400,288818,186607,1992,14,0.186622161
t1,S1400,288818,186607,1993,14,0.150885882
t1,S1401,290656,184874,1991,16,0.403380898
t1,S1401,290656,184874,1992,15,0.713433033
t1,S1401,290656,184874,1993,15,0.502424442
t1,S1402,293319,186839,1992,20,0.840764138
t1,S1403,279459,183097,1991,14,-0.176927146
t1,S1403,279459,183097,1993,9,-0.158586774
t1,S1404,277101,190924,1992,17,0.922731071
t1,S1404,277101,190924,1993,20,0.556027555
t1,S1405,278067,191882,1993,15,0.70125549
t1,S1406,280980,194990,1991,22,0.815072493
t1,S1406,280980,194990,1992,17,0.984441714
t1,S1406,280980,194990,1993,21,0.739733222
t1,S1407,287189,196213,1992,17,0.70900381
t1,S1407,287189,196213,1993,15,1.258736935
t1,S1408,277288,188966,1991,19,0.537514529
t1,S1408,277288,188966,1992,21,0.615541008
t1,S1408,277288,188966,1993,15,0.58140285
t1,S1409,279290,194300,1991,13,1.131455475
t1,S1409,279290,194300,1992,10,1.101425791
t1,S1409,279290,194300,1993,8,1.049513595
t1,S1410,281582,197397,1991,5,0.985654306
t1,S1410,281582,197397,1992,4,1.446648751
t1,S1410,281582,197397,1993,8,1.1514735
t1,S1411,279754,196293,1991,4,0.968213707
t1,S1411,279754,196293,1992,8,1.570591159
t1,S1411,279754,196293,1993,7,0.814044951
t1,S1412,279918,197336,1991,8,1.124287209
t1,S1412,279918,197336,1992,9,1.107325156
t1,S1412,279918,197336,1993,8,1.054156475
t1,S1413,286324,197280,1991,13,0.980798632
t1,S1413,286324,197280,1992,12,1.215057364
t1,S1413,286324,197280,1993,18,0.942145591
t1,S1414,277260,198964,1991,25,0.420286892
t1,S1414,277260,198964,1992,12,0.973738793
t1,S1414,277260,198964,1993,8,0.555060906
t1,S1415,286825,205629,1991,15,0.992368728
t1,S1415,286825,205629,1992,17,0.960734204
t1,S1415,286825,205629,1993,12,0.915368371
t1,S1416,273820,197920,1991,18,0.535785176
t1,S1416,273820,197920,1992,20,0.858351381
t1,S1416,273820,197920,1993,16,0.701757672
t1,S1417,277183,199418,1991,11,0.981295386
t1,S1417,277183,199418,1992,19,0.635706277
t1,S1417,277183,199418,1993,13,1.061291437
