site,easting,northing,year,pH,temperature,BOD,nitrate,phosphate,arable,imp.grass,urban,scaled.med.discharge,richness,ca1.score
S1095,462130,108750,2001,7.875,9.92,1.3,4.615,0.0845,50,38.46154,0,0.005126126,29,0.305284852
S1095,462130,108750,2002,7.76,10.7,1.2,2.85,0.064,50,38.46154,0,0.002522523,28,-0.055330275
S1095,462130,108750,2005,7.45,10.74,1.4,2.25,0.119,50,38.46154,0,0.001882883,25,-0.11008521
S1101,557914,112905,1991,7.235,11.5,1.45,1.8,0.05,21.95122,70.73171,0,0.002107843,17,-0.416467609
S1101,557914,112905,1995,7.4,9,1.4,3.3,0.08,21.95122,70.73171,0,0.009264706,21,-0.055982916
S1101,557914,112905,2004,7.31,8.71,1.3,1.76,0.06,21.95122,70.73171,0,0.002279412,24,-0.283477962
S1103,458200,85370,1996,7.8,11.1,1.35,6.66,0.12,50,48.38709677,0,0.003439597,14,-0.238479065
S1103,458200,85370,1998,7.85,10.9,1.5,6.55,0.13,50,48.38709677,0,0.002734899,18,-0.334011274
S1103,458200,85370,2000,7.85,10.5,1.3,6.435,0.205,50,48.38709677,0,0.003758389,19,-0.488789852
S1103,458200,85370,2001,7.825,10.7,1.4,6.105,0.165,50,48.38709677,0,0.006124161,19,-0.358036484
S1103,458200,85370,2004,7.805,11.4,1.5,6.5,0.1475,50,48.38709677,0,0.003003356,25,-0.1862811
S1103,458200,85370,2008,7.85,12.7,1.15,5.75,0.101,50,48.38709677,0,0.00283557,24,-0.342327175
S1104,454325,116003,2003,7.48,12.4,2,4.27,0.111,9.090909,90.90909,0,0.01456044,17,0.145303474
S1104,454325,116003,2005,7.89,10.865,1.4,4.455,0.0945,9.090909,90.90909,0,0.009656593,24,-0.062403539
S1104,454325,116003,2007,7.99,10.62,1.6,2.86,0.0805,9.090909,90.90909,0,0.008763736,22,0.011632298
S1104,454325,116003,2009,8.01,11.315,1.5,4.675,0.0615,9.090909,90.90909,0,0.01387363,20,0.328977765
S1104,454325,116003,2010,7.885,11.8,1.05,5.165,0.116,9.090909,90.90909,0,0.008159341,20,0.2242842
S1104,454325,116003,2013,7.725,13.1,1.345,5.09,0.432,9.090909,90.90909,0,0.01483516,21,-0.126929429
S1105,439272,391335,1995,7.705,8.4,1.8,4.855,0.035,9.523809524,26.19047619,45.23809524,0.011045576,10,-0.604634735
S1105,439272,391335,1996,7.675,9.7,2,3.03,0.06,9.523809524,26.19047619,45.23809524,0.004450402,13,-0.716307704
S1105,439272,391335,1997,7.84,10.6,2.4,3.23,0.1,9.523809524,26.19047619,45.23809524,0.004262735,12,-0.632832917
S1105,439272,391335,1998,7.995,11.5,2.4,4.16,0.1,9.523809524,26.19047619,45.23809524,0.006461126,12,-0.391673254
S1105,439272,391335,1999,7.95,9.6,1.8,5.84,0.1,9.523809524,26.19047619,45.23809524,0.009892761,8,-0.552463444
S1105,439272,391335,2000,7.75,11.7,2.3,4.94,0.11,9.523809524,26.19047619,45.23809524,0.008766756,11,-0.528177768
S1105,439272,391335,2004,7.7,8.2,2,3.42,0.112,9.523809524,26.19047619,45.23809524,0.005482574,10,-0.579020293
S1106,543180,114840,2002,7.63,10.7,2.2,3.8,0.468,16.66667,66.91919,2.777778,0.003363659,12,-0.523198836
S1106,543180,114840,2003,7.61,10.85,1.7,4.31,0.34,16.66667,66.91919,2.777778,0.004248168,15,-0.328252626
S1106,543180,114840,2004,7.64,11.53,2.1,4.535,0.467,16.66667,66.91919,2.777778,0.002173364,21,-0.684721683
S1106,543180,114840,2006,7.595,13.47,1.755,4.385,0.618,16.66667,66.91919,2.777778,0.001662876,15,-0.434182617
S1106,543180,114840,2008,7.6,10.61,1.6,4.29,0.359,16.66667,66.91919,2.777778,0.002611827,16,-0.758043424
S1110,546220,120600,1991,7.44,12,1.8,2.2,0.18,8.108108,82.43243,4.054054,0.002984055,20,-0.602363363
S1110,546220,120600,1998,7.7,9.95,1.95,2.6,0.075,8.108108,82.43243,4.054054,0.00405467,21,-0.173311428
S1110,546220,120600,1999,7.65,9,1.9,2.52,0.08,8.108108,82.43243,4.054054,0.007574032,17,-0.412193093
S1110,546220,120600,2005,7.41,12.895,1.85,1.98,0.0815,8.108108,82.43243,4.054054,0.005205011,19,-0.3036618
S1110,546220,120600,2008,7.305,11.66,1.5,1.945,0.063,8.108108,82.43243,4.054054,0.005928246,12,-0.046907826
S1113,542250,116120,2000,7.9,9,2.3,5.29,0.83,11.76471,85.29412,0,0.003280347,12,-0.886330003
S1113,542250,116120,2002,7.815,8.995,1.9,3.625,0.2965,11.76471,85.29412,0,0.003612717,28,-0.602028449
S1113,542250,116120,2004,7.55,10.73,1.6,5.85,1.49,11.76471,85.29412,0,0.001719653,19,-0.721350789
S1113,542250,116120,2008,7.715,11.88,2.5,4.4,0.645,11.76471,85.29412,0,0.003222543,19,-0.430883021
S1125,471470,105670,1991,7.94,11,1.8,4.37,0.04,49.20635,11.11111,12.69841,0.004176471,9,-0.389534074
S1125,471470,105670,1997,8.1,11.3,1.45,4.72,0.02,49.20635,11.11111,12.69841,0.004,12,-0.890066489
S1125,471470,105670,1999,7.9,11.1,1.1,5.25,0.02,49.20635,11.11111,12.69841,0.009352941,14,-0.698121231
S1125,471470,105670,2000,7.925,11.35,1.2,4.77,0.025,49.20635,11.11111,12.69841,0.005705882,14,-0.587405
S1125,471470,105670,2003,7.76,12.07,1.2,5.46,0.04,49.20635,11.11111,12.69841,0.005882353,10,-0.011631758
S1134,431440,102570,1991,7.2,11,1.3,1.33,0.14,0,7.608696,1.086957,0.002143579,29,-0.652342924
S1134,431440,102570,1992,6.93,9,1.4,0.9,0.09,0,7.608696,1.086957,0.003326593,27,-0.164007476
S1134,431440,102570,1993,7,12,1.55,0.95,0.175,0,7.608696,1.086957,0.00413549,28,0.295285064
S1134,431440,102570,1995,6.85,9.75,1.5,0.65,0.085,0,7.608696,1.086957,0.006865521,29,0.282615703
S1134,431440,102570,1999,7.25,13.1,1.5,1.15,0.3,0,7.608696,1.086957,0.006825076,28,0.269159292
S1134,431440,102570,2000,7.275,11.5,1.6,1.08,0.175,0,7.608696,1.086957,0.004883721,29,0.390302665
S1134,431440,102570,2001,7.3,9.9,1.6,0.79,0.127,0,7.608696,1.086957,0.008452983,30,0.164016095
S1134,431440,102570,2004,7.085,10.43,1.4,1.525,0.2335,0,7.608696,1.086957,0.003700708,27,-0.278692277
S1150,447150,120590,1992,7.77,10,3,2.24,0.09,54.05405,40.54054,2.702703,0.01020417,15,-0.551690512
S1150,447150,120590,1993,7.9,10,2.1,2,0.06,54.05405,40.54054,2.702703,0.009833333,20,-0.699583222
S1150,447150,120590,1995,7.9,11.3,2.7,4.1,0.05,54.05405,40.54054,2.702703,0.01746667,20,-0.718444953
S1150,447150,120590,1997,7.9,10,3.25,4.74,0.06,54.05405,40.54054,2.702703,0.01219167,20,-0.709300706
S1150,447150,120590,1999,7.975,11.45,3.15,3.94,0.045,54.05405,40.54054,2.702703,0.01611944,19,-0.694871886
S1150,447150,120590,2000,7.85,10.6,3,4,0.054,54.05405,40.54054,2.702703,0.01380278,17,-0.278883297
S1150,447150,120590,2004,7.81,8.94,2.8,5.71,0.07,54.05405,40.54054,2.702703,0.01459583,14,-0.556676932
S1150,447150,120590,2007,7.64,13.72,4.2,1.615,0.0625,54.05405,40.54054,2.702703,0.01263889,15,-0.627249867
S1150,447150,120590,2010,7.64,10.755,2.6,3.625,0.025,54.05405,40.54054,2.702703,0.01468056,15,-0.798697894
S1150,447150,120590,2013,7.97,11.425,1.91,3.25,0.0995,54.05405,40.54054,2.702703,0.01677222,17,-0.34900633
S1151,435470,117850,1991,7.945,13.1,1.5,5.65,0.155,73.50097,16.53772,2.224371,0.00655,28,0.04049025
S1151,435470,117850,1992,8,10.5,1.7,5.5,0.2,73.50097,16.53772,2.224371,0.007202404,32,-0.01368822
S1151,435470,117850,1995,8.1,11.75,1.75,6.05,0.13,73.50097,16.53772,2.224371,0.01183654,37,0.196215322
S1151,435470,117850,1996,8.175,10.7,1.85,6.515,0.155,73.50097,16.53772,2.224371,0.008144712,35,0.087450329
S1151,435470,117850,1998,8.1,10.9,1.45,5.78,0.18,73.50097,16.53772,2.224371,0.006354808,34,0.082009501
S1151,435470,117850,1999,8.05,13.1,1.55,5.965,0.11,73.50097,16.53772,2.224371,0.01043269,38,-0.04241495
S1151,435470,117850,2000,8.1,13.9,1.5,6.25,0.11,73.50097,16.53772,2.224371,0.009604808,30,0.257359126
S1151,435470,117850,2001,8.125,10.4,1.4,6.51,0.0855,73.50097,16.53772,2.224371,0.01434615,36,-0.214792653
S1151,435470,117850,2005,7.785,11.2,1.2,6.895,0.0805,73.50097,16.53772,2.224371,0.008894231,36,-0.143236014
S1151,435470,117850,2007,8.015,13.1,1.3,6.59,0.0485,73.50097,16.53772,2.224371,0.006807692,33,0.063412436
S1152,451130,132470,1997,8,10.85,1.75,4.915,0.06,85.95041,10.33058,0.8264463,0.01528294,34,0.001538228
S1152,451130,132470,1999,8.05,11.1,1.45,4.885,0.06,85.95041,10.33058,0.8264463,0.01793074,39,-0.061806103
S1152,451130,132470,2001,8,11.7,1.3,5.41,0.048,85.95041,10.33058,0.8264463,0.02359375,32,0.064421191
S1152,451130,132470,2002,7.85,11.67,1.1,6.45,0.046,85.95041,10.33058,0.8264463,0.02004223,37,0.000559497
S1152,451130,132470,2003,7.66,11.41,1.2,6.09,0.051,85.95041,10.33058,0.8264463,0.02118243,35,-0.147441751
S1152,451130,132470,2004,7.825,10.92,1.25,6.36,0.05,85.95041,10.33058,0.8264463,0.01621833,36,-0.153350237
S1152,451130,132470,2005,7.77,11.24,1.4,6,0.057,85.95041,10.33058,0.8264463,0.01532939,33,-0.046907059
S1152,451130,132470,2006,7.85,11.96,1.34,5.53,0.053,85.95041,10.33058,0.8264463,0.01382601,35,-0.055830172
S1152,451130,132470,2007,7.98,10.345,1,5.4,0.0535,85.95041,10.33058,0.8264463,0.01496622,30,-0.003580872
S1153,457990,133004,1991,7.97,10,1.1,4.1,0.05,85.71429,7.142857,0,0.02022807,21,-0.428049282
S1153,457990,133004,1992,8,9.5,1.25,4,0.05,85.71429,7.142857,0,0.01754386,19,-0.587871378
S1153,457990,133004,1993,8,11,1.3,3.335,0.06,85.71429,7.142857,0,0.01687719,32,-0.522156753
S1153,457990,133004,1997,8,10.2,1.4,4.375,0.09,85.71429,7.142857,0,0.02168421,30,-1.01481458
S1153,457990,133004,1999,8,10.55,1.15,4.28,0.075,85.71429,7.142857,0,0.02578947,27,-0.042064208
S1153,457990,133004,2000,7.95,11.7,1.2,4.72,0.07,85.71429,7.142857,0,0.02645614,26,-0.449705426
S1153,457990,133004,2001,7.95,11.5,1.1,4.96,0.07,85.71429,7.142857,0,0.03396491,30,-0.008536914
S1153,457990,133004,2003,7.56,10.39,1.3,5.59,0.096,85.71429,7.142857,0,0.03377193,35,-0.108151916
S1153,457990,133004,2004,7.785,10.77,1.4,5.445,0.07,85.71429,7.142857,0,0.0275614,32,-0.292834551
S1153,457990,133004,2005,7.84,10.59,1.37,5.4,0.065,85.71429,7.142857,0,0.0254386,29,-0.364258496
S1153,457990,133004,2007,7.8,10.1,1.2,4.68,0.077,85.71429,7.142857,0,0.02235088,26,-0.740917936
S1159,456784,132311,1991,7.945,9.6,1,4.92,0.02,91.5493,5.633803,0,0.005870787,28,-0.310398708
S1159,456784,132311,1996,8.1,11.55,1.55,6.17,0.035,91.5493,5.633803,0,0.007338483,37,-0.14046315
S1159,456784,132311,1998,8.1,9.5,1.4,5.09,0.03,91.5493,5.633803,0,0.004578652,30,-0.080681426
S1159,456784,132311,2000,8.075,13.25,1.2,5.98,0.02,91.5493,5.633803,0,0.007092697,34,-0.232054721
S1159,456784,132311,2004,7.93,11.5,1.4,6.89,0.03,91.5493,5.633803,0,0.008019663,36,-0.16085192
S1159,456784,132311,2005,7.99,11.08,1.26,6.73,0.04,91.5493,5.633803,0,0.007233146,39,-0.212714849
S1159,456784,132311,2006,7.915,12.135,1.05,6.3,0.0245,91.5493,5.633803,0,0.005098315,34,-0.058395613
S1161,604890,146950,1991,8,11,1.6,8.5,2.9,67.24138,16.81034,9.913793,0.003843478,24,-0.692969929
S1161,604890,146950,1992,7.9,8,2.3,8.4,2,67.24138,16.81034,9.913793,0.005086957,24,-0.750652414
S1161,604890,146950,1993,8,9,1.8,8.7,1.35,67.24138,16.81034,9.913793,0.005913043,22,-0.744638897
S1161,604890,146950,1994,7.95,12.2,2,7.8,1.045,67.24138,16.81034,9.913793,0.006434783,23,-0.752018668
S1161,604890,146950,1995,8,9.1,2.1,7,0.85,67.24138,16.81034,9.913793,0.008913043,24,-0.667754415
S1161,604890,146950,1996,7.9,10.9,2.3,7.19,1.8,67.24138,16.81034,9.913793,0.004252174,21,-0.819524663
S1161,604890,146950,1997,7.95,12.7,1.9,7.285,1.95,67.24138,16.81034,9.913793,0.004226087,23,-0.789202091
S1161,604890,146950,1998,8.025,13.8,1.85,7.38,1.9,67.24138,16.81034,9.913793,0.00473913,22,-0.670913424
S1161,604890,146950,1999,7.9,12.55,2.25,6.01,0.585,67.24138,16.81034,9.913793,0.008347826,20,-0.673469268
S1161,604890,146950,2000,7.9,12.85,2,6.245,0.25,67.24138,16.81034,9.913793,0.006608696,22,-0.519025273
S1161,604890,146950,2003,7.69,13.585,2.05,7.675,0.247,67.24138,16.81034,9.913793,0.007478261,23,-0.45486071
S1161,604890,146950,2005,7.79,11.84,2.2,8.33,0.297,67.24138,16.81034,9.913793,0.006173913,24,-0.520505568
S1161,604890,146950,2006,7.665,13.155,1.98,9.61,0.302,67.24138,16.81034,9.913793,0.005826087,22,-0.350885599
S1161,604890,146950,2007,7.79,13.23,1.5,8.83,0.175,67.24138,16.81034,9.913793,0.006608696,22,-0.344432456
S1161,604890,146950,2008,7.86,13.09,1.6,8.41,0.198,67.24138,16.81034,9.913793,0.008021739,25,-0.556750012
S1163,552243,159268,1993,8,13,1.9,2.3,0.25,28.28283,32.32323,15.15152,0.002427861,23,-0.198165725
S1163,552243,159268,1998,8.125,13.1,1.55,2.8,0.02,28.28283,32.32323,15.15152,0.002855721,29,-0.248680564
S1163,552243,159268,1999,8.075,11.75,1.7,4.065,0.035,28.28283,32.32323,15.15152,0.006288557,28,-0.11763951
S1163,552243,159268,2000,8.05,12.05,1.8,3.425,0.02,28.28283,32.32323,15.15152,0.00460199,28,-0.181667357
S1163,552243,159268,2003,8.01,9.37,1.7,4.57,0.048,28.28283,32.32323,15.15152,0.007442786,25,-0.123717788
S1163,552243,159268,2005,8.02,15.8,1.55,2.73,0.0315,28.28283,32.32323,15.15152,0.00359204,28,-0.113926637
S1163,552243,159268,2006,7.92,11.76,1.655,2.47,0.0295,28.28283,32.32323,15.15152,0.002338308,27,-0.158602135
S1163,552243,159268,2008,7.995,12.945,1.6,2.495,0.0345,28.28283,32.32323,15.15152,0.00339801,27,-0.222090759
S1164,556150,168700,2008,8.215,10.72,1.3,3.14,0.0225,38.125,31.25,9.375,0.002711599,27,-0.134987012
S1167,552550,137480,1992,7.4,11.25,4.5,7.45,4.1,11.11111,22.22222,33.33333,0.006080074,14,-0.487032613
S1167,552550,137480,1995,7.4,13.5,2.35,7.9,3.4,11.11111,22.22222,33.33333,0.01113594,23,-0.200138674
S1167,552550,137480,1997,7.525,10.8,3.65,9.99,4.8,11.11111,22.22222,33.33333,0.005027933,22,-0.503226432
S1167,552550,137480,1999,7.45,13.5,3.3,9.19,3.975,11.11111,22.22222,33.33333,0.009534451,21,-0.081948992
S1167,552550,137480,2000,7.525,11.95,2.8,10.02,4.21,11.11111,22.22222,33.33333,0.005810056,18,-0.397009069
S1167,552550,137480,2003,6.98,11.34,3.95,2.575,0.662,11.11111,22.22222,33.33333,0.01147114,22,-0.429022646
S1167,552550,137480,2004,7.31,13.22,3.4,9.1,3.17,11.11111,22.22222,33.33333,0.005083799,26,-0.376846246
S1167,552550,137480,2006,7.245,15.005,3.58,14.6,4.31,11.11111,22.22222,33.33333,0.004562384,24,-0.350399837
S1167,552550,137480,2009,7.395,15.94,1.97,9.455,1.695,11.11111,22.22222,33.33333,0.009608939,17,-0.108099944
S1174,567161,113770,1991,7.25,13,1.1,0.7,0.03,0,100,0,0.001830986,15,-0.370005629
S1174,567161,113770,2002,7.59,11.58,1.6,0.964,0.042,0,100,0,0.00471831,16,-0.368807077
S1174,567161,113770,2007,7.28,12.29,1.3,1.51,0.0225,0,100,0,0.004929577,10,-0.16096532
S1184,580000,118550,1995,7.6,11.8,1.6,1.4,0.25,0,28.57143,0,0.00750547,22,-0.007318254
S1186,611623,155426,1991,8,11,2,5.4,1.4,65.22989,17.52874,6.609195,0.004202899,31,-0.426547186
S1186,611623,155426,1992,8,10.5,2.25,6.4,1.25,65.22989,17.52874,6.609195,0.004826087,34,-0.618103758
S1186,611623,155426,1993,8,11.9,1.8,6.4,1.1,65.22989,17.52874,6.609195,0.005710145,22,-0.432012183
S1186,611623,155426,1994,8,13.25,2.25,6.44,0.575,65.22989,17.52874,6.609195,0.006318841,19,-0.163786344
S1186,611623,155426,1995,8,9.5,1.8,5.9,0.51,65.22989,17.52874,6.609195,0.009478261,24,-0.197545445
S1186,611623,155426,1998,8.05,12.8,1.8,6.115,0.9,65.22989,17.52874,6.609195,0.004028986,22,-0.389621195
S1186,611623,155426,1999,8,10,1.9,5.99,0.5,65.22989,17.52874,6.609195,0.007130435,23,-0.393168591
S1186,611623,155426,2000,7.925,13,2,5.33,0.165,65.22989,17.52874,6.609195,0.006188406,26,-0.204014727
S1186,611623,155426,2003,7.74,11.97,1.75,6.855,0.166,65.22989,17.52874,6.609195,0.007884058,20,-0.269520911
S1186,611623,155426,2005,7.735,12.535,1.7,6.455,0.179,65.22989,17.52874,6.609195,0.005855072,26,-0.280640646
S1186,611623,155426,2006,7.72,13.4,1.94,8.36,0.205,65.22989,17.52874,6.609195,0.004811594,27,-0.451577493
S1186,611623,155426,2007,7.84,13,1.6,7.33,0.149,65.22989,17.52874,6.609195,0.006492754,22,-0.323484362
S1186,611623,155426,2008,7.78,13.04,1.4,7.37,0.132,65.22989,17.52874,6.609195,0.006681159,25,-0.428131824
S1192,402701,462415,2010,7.67,8.74,1.3,0.554,0.25,0,7.142857143,0,0.004104646,21,0.648589672
S1197,575670,153720,1991,8,12,1.7,12,1.3,42.10526,42.10526,5.263158,0.007317073,21,-0.33002772
S1197,575670,153720,1993,8,9.5,1.4,11.1,1.3,42.10526,42.10526,5.263158,0.006714491,23,-0.335702738
S1197,575670,153720,1995,8.05,11.35,1.45,12.65,0.55,42.10526,42.10526,5.263158,0.01140603,21,-0.091506558
S1197,575670,153720,2000,8,10.6,1.5,13.3,1.04,42.10526,42.10526,5.263158,0.008034433,20,-0.188733126
S1197,575670,153720,2005,7.785,10.73,1.35,9.98,0.6115,42.10526,42.10526,5.263158,0.007259684,16,-0.024810578
S1197,575670,153720,2008,7.98,11.32,1.2,11.9,0.614,42.10526,42.10526,5.263158,0.008070301,18,-0.109958783
S1201,617500,159930,1991,8,11.5,2.15,6.35,1.25,60.66838,17.73779,9.254499,0.000515464,25,-0.48975906
S1201,617500,159930,1992,8,10,1.8,6.6,1.4,60.66838,17.73779,9.254499,0.00072165,23,-0.605864965
S1201,617500,159930,1993,8,13.7,1.7,7.8,0.95,60.66838,17.73779,9.254499,0.001340206,22,-0.285430965
S1203,580000,146490,1991,7.9,10,1.8,12.8,1.4,66.66667,33.33333,0,0.000642367,10,-1.244434321
S1203,580000,146490,1995,8.05,12.6,1.55,9.85,0.615,66.66667,33.33333,0,0.002944785,17,-0.558496607
S1203,580000,146490,1999,7.975,10.25,1.9,11.05,0.625,66.66667,33.33333,0,0.002183327,23,-0.212553241
S1203,580000,146490,2000,8,11.3,2.15,9.2,0.925,66.66667,33.33333,0,0.00140563,15,-0.627062539
S1203,580000,146490,2004,7.86,12.83,2.1,9.825,0.794,66.66667,33.33333,0,0.0005738,12,-0.511596206
S1203,580000,146490,2005,7.79,12.14,1.3,7.75,0.295,66.66667,33.33333,0,0.00120895,17,-0.549736584
S1203,580000,146490,2007,7.955,13.77,2.15,7.695,0.287,66.66667,33.33333,0,0.00193432,15,-0.524767522
S1205,568420,126380,1995,7.7,10.4,1.4,1.9,0.12,11.82796,75.26882,1.075269,0.008327273,28,0.042978535
S1205,568420,126380,1997,7.95,9.8,1.6,2.18,0.17,11.82796,75.26882,1.075269,0.003854545,24,0.363204416
S1205,568420,126380,1998,7.9,11.5,1.6,2.18,0.12,11.82796,75.26882,1.075269,0.003963636,24,-0.493510088
S1205,568420,126380,2003,7.595,11.34,1.35,1.795,0.09,11.82796,75.26882,1.075269,0.008327273,21,-0.208379854
S1205,568420,126380,2004,7.635,10.025,1.65,1.5,0.1015,11.82796,75.26882,1.075269,0.003690909,24,-0.323224474
S1205,568420,126380,2005,7.72,10.025,1.215,1.765,0.0965,11.82796,75.26882,1.075269,0.004836364,14,-0.162396579
S1205,568420,126380,2006,7.76,10.04,1.23,1.92,0.093,11.82796,75.26882,1.075269,0.003745455,10,0.026572817
S1211,549330,174230,1992,8.3,14,2,4.4,0.16,0,3.448276,96.55172,0.002063492,13,-0.746131444
S1211,549330,174230,1993,8.2,13,2.5,4.4,0.25,0,3.448276,96.55172,0.00197995,8,-0.422017903
S1211,549330,174230,1994,8.1,9.5,2.45,4.75,0.13,0,3.448276,96.55172,0.003625731,12,-0.521952627
S1211,549330,174230,1995,8.15,12.25,2.4,4.7,0.135,0,3.448276,96.55172,0.005271512,14,-0.465192057
S1211,549330,174230,1996,8.4,12.8,2.2,5.185,0.12,0,3.448276,96.55172,0.004135338,15,-0.695925704
S1211,549330,174230,1997,8.15,11.7,2.3,4.895,0.155,0,3.448276,96.55172,0.002230576,10,-0.262713657
S1211,549330,174230,1998,8.575,13.8,2.35,4.77,0.1,0,3.448276,96.55172,0.00128655,14,-0.297986957
S1211,549330,174230,2000,8.125,12,1.95,4.88,0.14,0,3.448276,96.55172,0.00358396,9,-0.534477242
S1211,549330,174230,2003,8.08,11.925,2.15,4.975,0.1955,0,3.448276,96.55172,0.005547201,14,-0.444084232
S1211,549330,174230,2004,8.06,12,2.65,5.12,0.3605,0,3.448276,96.55172,0.00440685,16,-0.515929641
S1211,549330,174230,2005,7.96,15.28,2,4.74,0.343,0,3.448276,96.55172,0.002790309,15,-0.600883447
S1211,549330,174230,2006,8.04,13.13,2.275,4.55,0.3305,0,3.448276,96.55172,0.001461988,12,-0.542958282
S1218,571233,138453,1993,7.8,13.5,1.6,2.17,0.17,19.25926,57.03704,1.481481,0.003781204,19,0.050666645
S1218,571233,138453,1994,7.7,8.25,2,2.55,0.12,19.25926,57.03704,1.481481,0.006754772,17,-0.115343116
S1218,571233,138453,1998,7.975,9.9,1.35,3.47,0.1,19.25926,57.03704,1.481481,0.00685022,18,0.053669792
S1218,571233,138453,1999,7.8,11.6,1.45,3.055,0.08,19.25926,57.03704,1.481481,0.007562408,21,-0.336471541
S1218,571233,138453,2000,7.875,11.95,1.6,2.18,0.09,19.25926,57.03704,1.481481,0.00726138,24,-0.192284696
S1218,571233,138453,2002,7.675,10.805,1.4,2.13,0.0655,19.25926,57.03704,1.481481,0.008002937,18,0.198255615
S1218,571233,138453,2003,7.595,12.05,1.75,2.145,0.065,19.25926,57.03704,1.481481,0.007929515,21,0.342741188
S1218,571233,138453,2004,7.74,13.75,1.9,1.52,0.08,19.25926,57.03704,1.481481,0.006964023,23,-0.031662088
S1218,571233,138453,2005,7.765,12.945,1.345,2.26,0.0755,19.25926,57.03704,1.481481,0.006578561,19,-0.164865831
S1218,571233,138453,2006,7.92,12.17,1.37,1.77,0.065,19.25926,57.03704,1.481481,0.006659325,24,0.096462978
S1218,571233,138453,2007,7.57,11.115,1.1,3.365,0.075,19.25926,57.03704,1.481481,0.007856094,19,0.238462174
S1226,578370,126660,1991,7.5,13,1.4,5.7,1.2,28.57143,67.85714,0,0.001145631,13,-0.150816669
S1226,578370,126660,1995,7.45,9.45,1.5,3.7,0.245,28.57143,67.85714,0,0.006650485,24,0.183763845
S1226,578370,126660,1998,7.65,13.2,2.1,5.56,0.56,28.57143,67.85714,0,0.001825243,24,-0.102058428
S1226,578370,126660,2000,7.65,10,1.7,3.94,0.39,28.57143,67.85714,0,0.002570388,21,0.143447171
S1226,578370,126660,2004,7.47,9.695,1.55,4.14,0.2445,28.57143,67.85714,0,0.002043689,15,0.157478483
S1226,578370,126660,2007,7.4,9.83,1.53,3.38,0.154,28.57143,67.85714,0,0.003650485,23,0.422353635
S1231,249356,220284,1991,7.5,13,1.1,0.909,0.25,0.09107468,61.47541,0.09107468,0.01197726,25,0.403776563
S1231,249356,220284,1995,7.3,10.2,0.9,0.69,0.02,0.09107468,61.47541,0.09107468,0.02544938,19,0.945944367
S1231,249356,220284,2000,7.4,10,0.8,0.94,0.01,0.09107468,61.47541,0.09107468,0.03185987,21,0.872347222
S1231,249356,220284,2017,7.735,10.25,1.43,0.569155,0.01105,0.09107468,61.47541,0.09107468,0.02017608,24,0.886324364
S1236,278599,247169,2000,6.8,8.5,0.6,0.285,0.002,0,0,0,0.03696548,10,1.187637553
S1236,278599,247169,2007,6.73,8.845,0.25,0.38,0.25,0,0,0,0.03051225,11,1.019363536
S1236,278599,247169,2010,6.31,7.41,0.25,0.281,0.25,0,0,0,0.03151448,12,1.046378557
S1244,228474,216530,2000,7.3,10,0.9,2.75,0.015,0,100,0,0.02372512,29,0.587811606
S1244,228474,216530,2003,7.72,10.35,1,2.24,0.02,0,100,0,0.02304336,29,0.666505016
S1246,223700,216850,2000,7.3,9,1,2.725,0.02,0,100,0,0.02116659,28,0.524786633
S1246,223700,216850,2005,7.47,11.2,1.4,2.98,0.02,0,100,0,0.02120571,27,0.595399424
S1250,243350,221040,1991,7.5,12,1.55,2.225,0.1,0,89.0411,0,0.01240154,30,0.58663701
S1250,243350,221040,1992,7.3,10,1.6,2.381,0.05,0,89.0411,0,0.01942857,21,0.631513633
S1250,243350,221040,1995,7.25,10,0.9,1.54,0.03,0,89.0411,0,0.03492664,23,0.775178361
S1250,243350,221040,2000,7.6,10.5,0.95,1.655,0.02,0,89.0411,0,0.02598456,26,0.662648026
S1250,243350,221040,2003,7.65,10.79,1,1.5,0.02,0,89.0411,0,0.02599228,26,0.58413351
S1250,243350,221040,2009,7.48,10.82,1,1.74,0.021,0,89.0411,0,0.03179151,23,0.67333128
S1251,250850,222450,2000,7.4,11,0.8,0.99,0.007,0,67.11409,0,0.02754365,22,1.022445087
S1251,250850,222450,2005,7.47,10.87,1.1,0.97,0.009,0,67.11409,0,0.023227,22,1.065925695
S1251,250850,222450,2008,7.48,10.91,0.25,0.8,0.25,0,67.11409,0,0.02146407,18,0.957715301
S1253,265391,240799,2000,7.3,11,1,0.83,0.005,0,73.33333,0,0.02722222,24,0.652804262
S1253,265391,240799,2005,7.3,10.77,1.2,0.88,0.01,0,73.33333,0,0.02024155,20,0.877839998
S1253,265391,240799,2011,7.425,10.05,0.25,0.586,0.25,0,73.33333,0,0.0157971,16,1.191844626
S1258,270600,227650,2000,8,8.5,1.1,0.82,0.007,0,53.40909,0,0.02965806,26,0.55329975
S1258,270600,227650,2004,7.92,9.21,1,0.87,0.009,0,53.40909,0,0.01611613,26,0.687419595
S1258,270600,227650,2010,7.865,9.68,0.25,0.791,0.25,0,53.40909,0,0.02802581,20,0.952131283
S1272,277145,234456,1995,6.875,10.7,0.65,1.04,0.02,0,48.4375,0,0.025,21,1.183297821
S1272,277145,234456,2000,7.1,10.5,0.95,0.92,0.0065,0,48.4375,0,0.02941617,22,0.909333621
S1275,275961,238968,1996,6.725,10.5,0.6,1.185,0.01,0,25,0,0.01682485,20,0.669982573
